Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/31/2013,Credit card,,Balance transfer fee,,,,Discover,CA,91356,,N/A,Web,07/31/2013,Closed with non-monetary relief,Yes,No,470488
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,GA,30121,,N/A,Web,07/31/2013,Closed with non-monetary relief,Yes,Yes,471164
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Specialized Loan Servicing LLC,CA,94565,,N/A,Web,08/05/2013,Closed,Yes,No,471015
07/30/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,IL,60626,,N/A,Phone,07/31/2013,Closed with monetary relief,Yes,No,469836
07/31/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",OR,97236,,N/A,Postal mail,08/20/2013,Closed with explanation,Yes,No,471021
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,OK,73053,Older American,N/A,Web,07/30/2013,Closed with explanation,Yes,No,468212
07/30/2013,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,FL,34237,,N/A,Referral,07/31/2013,Closed with explanation,Yes,Yes,479907
07/31/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MO,63456,,N/A,Web,08/06/2013,Closed with non-monetary relief,Yes,No,480943
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MO,64048,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,470235
07/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,95117,,N/A,Postal mail,08/05/2013,Closed with explanation,Yes,No,471037
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,SC,29212,Servicemember,N/A,Referral,07/31/2013,Closed with explanation,Yes,Yes,470298
07/31/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,,,Total Recovery Solutions,TX,77551,,N/A,Web,08/16/2013,Closed with explanation,Yes,Yes,482436
07/31/2013,Credit card,,Billing disputes,,,,Bank of America,MT,59446,,N/A,Phone,08/02/2013,Closed with monetary relief,Yes,No,471048
